,DATASOURCE,DAYOFSERVICE,TRIPID,LINEID,ROUTEID,DIRECTION,PLANNEDTIME_ARR,PLANNEDTIME_DEP,ACTUALTIME_ARR,ACTUALTIME_DEP,BASIN,TENDERLOT,SUPPRESSED,JUSTIFICATIONID,LASTUPDATE,NOTE
760,DB,18-FEB-18 00:00:00,6276467,39A,39A_40,1,65805,61200,66264.0,61205.0,BasDef,,,,26-FEB-18 11:09:33,",2427400,"
761,DB,18-FEB-18 00:00:00,6265191,39A,39A_40,1,67005,62400,68201.0,62419.0,BasDef,,,,26-FEB-18 11:09:33,",2418397,"
762,DB,18-FEB-18 00:00:00,6278857,39A,39A_40,1,68205,63600,68852.0,63566.0,BasDef,,,,26-FEB-18 11:09:33,",2418516,"
1190,DB,16-MAR-18 00:00:00,6396902,39A,39A_40,1,38419,34200,39054.0,34284.0,BasDef,,,,26-MAR-18 12:55:43,",2419459,"
1193,DB,16-MAR-18 00:00:00,6396468,39A,39A_40,1,45937,41400,46841.0,41401.0,BasDef,,,,26-MAR-18 12:55:43,",2417277,"
1219,DB,16-MAR-18 00:00:00,6396109,39A,39A_40,1,31305,26700,32096.0,26805.0,BasDef,,,,26-MAR-18 12:55:43,",2428416,"
1220,DB,16-MAR-18 00:00:00,6396114,39A,39A_43,2,63886,58800,63922.0,58767.0,BasDef,,,,26-MAR-18 12:55:43,",2428424,"
1394,DB,26-SEP-18 00:00:00,7773868,39A,39A_43,2,81429,78000,81821.0,78004.0,BasDef,,,,18-OCT-18 18:01:47,",2416706,"
1395,DB,26-SEP-18 00:00:00,7758673,39A,39A_43,2,82629,79200,82563.0,79206.0,BasDef,,,,18-OCT-18 18:01:47,",2426314,"
1396,DB,26-SEP-18 00:00:00,7765050,39A,39A_43,2,85029,81600,84925.0,81621.0,BasDef,,,,18-OCT-18 18:01:47,",2416759,"
1397,DB,26-SEP-18 00:00:00,7768278,39A,39A_43,2,83829,80400,,80213.0,BasDef,,,,18-OCT-18 18:01:47,",2428240,"
1398,DB,26-SEP-18 00:00:00,7761839,39A,39A_43,2,80229,76800,80937.0,,BasDef,,,,18-OCT-18 18:01:47,",2424422,"
1432,DB,26-SEP-18 00:00:00,7769487,39A,39A_43,2,34454,29100,35182.0,29286.0,BasDef,,,,18-OCT-18 18:01:47,",2425270,"
1437,DB,26-SEP-18 00:00:00,7773913,39A,39A_43,2,45983,41400,46220.0,41387.0,BasDef,,,,18-OCT-18 18:01:47,",2423402,"
1556,DB,26-JUN-18 00:00:00,7101770,39A,39A_43,2,59625,54600,61031.0,54602.0,BasDef,,,,04-JUL-18 12:21:00,",2428234,"
1685,DB,26-JUN-18 00:00:00,7115486,39A,39A_40,1,80471,76800,81062.0,76772.0,BasDef,,,,04-JUL-18 12:21:00,",2428428,"
2223,DB,11-MAR-18 00:00:00,6386136,39A,39A_43,2,71437,67200,72045.0,67263.0,BasDef,,,,19-MAR-18 15:02:59,",2427402,"
2224,DB,11-MAR-18 00:00:00,6389595,39A,39A_43,2,70237,66000,70601.0,66005.0,BasDef,,,,19-MAR-18 15:02:59,",2428572,"
2225,DB,11-MAR-18 00:00:00,6396897,39A,39A_43,2,69037,64800,70200.0,64884.0,BasDef,,,,19-MAR-18 15:02:59,",2427020,"
2469,DB,26-SEP-18 00:00:00,7769204,39A,39A_40,1,69704,64800,,64886.0,BasDef,,,,18-OCT-18 18:01:47,",2425933,"
2470,DB,26-SEP-18 00:00:00,7759123,39A,39A_40,1,70304,65400,72045.0,65525.0,BasDef,,,,18-OCT-18 18:01:47,",2428425,"
2471,DB,26-SEP-18 00:00:00,7761589,39A,39A_40,1,72104,67200,73191.0,67493.0,BasDef,,,,18-OCT-18 18:01:47,",2426072,"
2472,DB,26-SEP-18 00:00:00,7761035,39A,39A_40,1,70904,66000,,65970.0,BasDef,,,,18-OCT-18 18:01:47,",2417717,"
2473,DB,26-SEP-18 00:00:00,7765747,39A,39A_40,1,73304,68400,,68307.0,BasDef,,,,18-OCT-18 18:01:47,",2426822,"
2560,DB,26-JUN-18 00:00:00,7109987,39A,39A_42,2,84689,82800,84835.0,82865.0,BasDef,,,,04-JUL-18 12:21:00,",2426549,"
2948,DB,10-OCT-18 00:00:00,8025115,39A,39A_43,2,77479,73200,77691.0,73188.0,BasDef,,,,23-OCT-18 06:57:21,",2426546,"
2949,DB,10-OCT-18 00:00:00,8016132,39A,39A_43,2,78679,74400,78678.0,74369.0,BasDef,,,,23-OCT-18 06:57:21,",2426074,"
2950,DB,10-OCT-18 00:00:00,8014527,39A,39A_43,2,73879,69600,74414.0,,BasDef,,,,23-OCT-18 06:57:21,",2419757,"
2951,DB,10-OCT-18 00:00:00,8017441,39A,39A_43,2,75079,70800,75542.0,,BasDef,,,,23-OCT-18 06:57:21,",2416756,"
2952,DB,10-OCT-18 00:00:00,8026547,39A,39A_43,2,79879,75600,79655.0,,BasDef,,,,23-OCT-18 06:57:21,",2429613,"
2953,DB,10-OCT-18 00:00:00,8030090,39A,39A_43,2,72679,68400,73711.0,68441.0,BasDef,,,,23-OCT-18 06:57:21,",2428237,"
